,city,country,population,year
7620,Sydney,Australia,4128272.0,2001
4929,Al Iskandariyah,Egypt,4123869.0,2006
3509,Harbin,China,4113708.0,2000
3663,Dalian,China,4087733.0,2010
5108,Riyadh,Saudi Arabia,4087152.0,2004
5580,Singapore,Singapore,4027900.0,2000
9230,Abidjan,Cote dIvoire,4007000.0,2009
5593,New Taipei,Taiwan,3939305.0,2012
4612,Ho Chi Minh,Vietnam,3924435.0,1989
3446,Guangzhou,China,3918010.0,1990
6288,Los Angeles,United States,3884307.0,2013
7619,Sydney,Australia,3881100.0,1996
3768,Kunming,China,3855346.0,2010
4457,Chennai,India,3841396.0,1991
4286,Dhaka,Bangladesh,3839483.0,1991
3549,Wuhan,China,3832536.0,1990
5382,Busan,South Korea,3813814.0,1995
6287,Los Angeles,United States,3792622.0,2010
5592,New Taipei,Taiwan,3767095.0,2006
3550,Wuhan,China,3750000.0,1991
9203,Cape Town,South Africa,3740026.0,2011
5591,New Taipei,Taiwan,3722082.0,2003
3704,Qingdao,China,3718835.0,2010
6286,Los Angeles,United States,3694257.0,2000
5220,Yokohama,Japan,3688773.0,2010
5383,Busan,South Korea,3662884.0,2000
7618,Sydney,Australia,3657000.0,1990
5221,Yokohama,Japan,3629257.0,2012
4525,Hyderabad,India,3612427.0,2001
3507,Harbin,China,3597404.0,1990
3447,Guangzhou,China,3580000.0,1991
5219,Yokohama,Japan,3579628.0,2005
3630,Fuzhou,China,3572421.0,2000
3593,Wuxi,China,3543719.0,2010
3431,Xiamen,China,3531347.0,2010
5384,Busan,South Korea,3523582.0,2005
4360,Ahmadabad,India,3520085.0,2001
4170,Karachi,Pakistan,3515402.0,1972
3696,Jinan,China,3506513.0,2000
3777,Ningbo,China,3491597.0,2010
6285,Los Angeles,United States,3485398.0,1990
3747,Chengdu,China,3483834.0,1990
7659,Melbourne,Australia,3471625.0,2001
627,Berlin,Germany,3465748.0,1992
9193,eThekwini,South Africa,3442361.0,2011
3794,Nanning,China,3437171.0,2010
5218,Yokohama,Japan,3426651.0,2000
3740,Taiyuan,China,3426519.0,2010
5385,Busan,South Korea,3403135.0,2010
2675,Izmir,Turkey,3401994.0,2012
628,Berlin,Germany,3382169.0,2000
3497,Tangshan,China,3372102.0,2010
4928,Al Iskandariyah,Egypt,3339076.0,1996
3598,Suzhou,China,3330242.0,2000
3413,Hefei,China,3310268.0,2010
629,Berlin,Germany,3292365.0,2011
3602,Changzhou,China,3290918.0,2010
7658,Melbourne,Australia,3283300.0,1996
3597,Suzhou,China,3273010.0,1990
626,Berlin,Germany,3260000.0,1987
5217,Yokohama,Japan,3256000.0,1995
4764,Pyongyang,North Korea,3255288.0,2008
3662,Dalian,China,3245191.0,2000
3641,Changchun,China,3225557.0,2000
9177,Johannesburg,South Africa,3225309.0,2001
2569,Ankara,Turkey,3203362.0,2000
430,Madrid,Spain,3198645.0,2011
9185,Ekurhuleni - Germiston,South Africa,3178471.0,2011
9498,Nairobi,Kenya,3133518.0,2009
3701,Zibo,China,3129228.0,2010
4410,Pune,India,3124458.0,2011
3840,Chongqing,China,3122704.0,1990
3467,Zhongshan,China,3121275.0,2010
3572,Changsha,China,3093980.0,2010
9192,eThekwini,South Africa,3090122.0,2001
7657,Melbourne,Australia,3081000.0,1990
4603,Hanoi,Vietnam,3056146.0,1989
3596,Xuzhou,China,3053778.0,2010
5579,Singapore,Singapore,3047100.0,1990
4447,Jaipur,India,3046163.0,2011
428,Madrid,Spain,3041101.0,1994
9450,Addis Ababa,Ethiopia,3040740.0,2012
3780,Wenzhou,China,3039439.0,2010
3767,Kunming,China,3035406.0,2000
3482,Guiyang,China,3034750.0,2010
3819,Wulumuqi,China,3029372.0,2010
6622,Chicago,United States,3005072.0,1980
3639,Changchun,China,2980870.0,1990
3841,Chongqing,China,2980000.0,1991
3496,Tangshan,China,2978018.0,2000
4282,Chittagong,Bangladesh,2971102.0,2011
6284,Los Angeles,United States,2968528.0,1980
7789,Buenos Aires,Argentina,2965403.0,1991
4524,Hyderabad,India,2964638.0,1991
4108,Lahore,Pakistan,2952689.0,1981
8940,Casablanca,Morocco,2946440.0,2004
3595,Xuzhou,China,2942115.0,2000
429,Madrid,Spain,2938723.0,2001
3428,Fuzhou,China,2921762.0,2010
9175,Tshwane,South Africa,2921488.0,2011
4927,Al Iskandariyah,Egypt,2917000.0,1986
6624,Chicago,United States,2895966.0,2000
9202,Cape Town,South Africa,2892243.0,2001
427,Madrid,Spain,2881506.0,1991
9229,Abidjan,Cote dIvoire,2877948.0,1998
4359,Ahmadabad,India,2876710.0,1991
3793,Nanning,China,2875335.0,2000
3683,Xi'an,China,2872539.0,1990
3493,Shijiazhuang,China,2834942.0,2010
3508,Harbin,China,2830000.0,1991
3700,Zibo,China,2817479.0,2000
4471,Lucknow,India,2817105.0,2011
1474,Kyïv,Ukraine,2814258.0,2012
3748,Chengdu,China,2810000.0,1991
5114,Jeddah,Saudi Arabia,2801481.0,2004
6623,Chicago,United States,2783726.0,1990
2568,Ankara,Turkey,2782200.0,1994
5631,Kaohsiung,Taiwan,2778659.0,2012
7790,Buenos Aires,Argentina,2768772.0,2001
5013,Surabaya,Indonesia,2765487.0,2010
4474,Kanpur,India,2765348.0,2011
5630,Kaohsiung,Taiwan,2760180.0,2006
3684,Xi'an,China,2760000.0,1991
5629,Kaohsiung,Taiwan,2756775.0,2003
9191,eThekwini,South Africa,2751193.0,1996
7367,Santo Domingo,Dominican Republic,2749703.0,2010
3942,Mashhad,Iran,2749374.0,2011
4763,Pyongyang,North Korea,2741260.0,1993
9449,Addis Ababa,Ethiopia,2738248.0,2007
3703,Qingdao,China,2720972.0,2000
